Age,Gender,Employment Status,Education Level,Credit Score,Annual Income,DTI (%),Loan Amount,Loan Purpose,Interest Rate (%),Loan Term (months),Home Ownership,Open Accounts,Bankruptcy,Payment History (on-time),Delinquency (count),Credit Inquiries,Credit Utilization (%),Employment Length (years),Loan Status
49,Female,Retired,Bachelor's,478,46258,40.02,43533,Car,14.84,60,Own,8,1,14/56,0,5,17.22,39,Current
35,Male,Employed,Bachelor's,612,94746,27.29,31062,Home,15.61,60,Mortgage,2,1,22/58,1,0,96.87,24,Late
38,Female,Employed,High School,385,109891,30.54,9856,Car,9.09,60,Mortgage,3,2,46/56,2,0,58.39,2,Late
71,Male,Self-employed,Master's,531,49808,15.61,23679,Home,14.98,36,Mortgage,11,1,39/54,2,4,66.32,22,Current
55,Female,Unemployed,High School,625,115746,17.87,41095,Home,21.9,36,Mortgage,9,0,49/59,0,2,32.34,9,Late
38,Female,Employed,Bachelor's,551,74001,30.51,18598,Medical,19.64,36,Rent,8,2,8/55,1,4,59.68,13,Late
29,Female,Employed,High School,500,138778,15.87,39908,Credit Card,5.4,60,Mortgage,5,2,40/52,0,5,76.41,33,Late
18,Female,Self-employed,Bachelor's,783,60858,27.11,24797,Car,5.34,36,Mortgage,4,2,18/56,1,2,73.17,11,Late
25,Male,Employed,Bachelor's,398,86726,47.63,24882,Home,18.18,36,Own,7,1,4/52,2,4,90.39,25,Late
65,Male,Employed,Bachelor's,841,68828,33.99,6692,Car,10.51,36,Own,7,0,48/55,0,4,34.74,35,Fully Paid
31,Male,Self-employed,Master's,775,77421,33.03,6679,Medical,8.46,60,Mortgage,10,2,3/51,2,0,43.7,15,Late
29,Female,Self-employed,High School,491,37676,43.91,25491,Home,5.07,36,Mortgage,10,1,3/52,3,2,60.87,4,Charged Off
60,Male,Self-employed,High School,722,127269,31.38,8783,Home,24.05,36,Own,9,2,14/59,1,5,56.49,21,Charged Off
19,Male,Unemployed,High School,829,102705,31.01,5400,Medical,13.56,60,Rent,3,0,44/57,1,3,84.48,26,Current
40,Male,Employed,Bachelor's,300,39288,42.57,48820,Car,5.71,36,Mortgage,8,1,6/54,1,5,18.49,35,Charged Off
29,Male,Self-employed,Master's,676,33733,36.46,39531,Medical,9.68,60,Mortgage,2,0,10/51,0,5,19.69,0,Fully Paid
26,Male,Unemployed,Bachelor's,671,68438,20.94,7027,Car,21.24,60,Rent,6,2,17/59,2,3,29.01,0,Late
28,Male,Retired,High School,599,60885,41.39,30094,Home,24.87,36,Own,10,1,9/52,3,2,90.0,13,Fully Paid
74,Male,Self-employed,High School,334,28661,28.44,46690,Car,24.83,36,Rent,5,2,17/57,2,1,36.39,28,Late
51,Male,Employed,Bachelor's,805,24910,27.86,40638,Home,20.63,36,Mortgage,10,2,46/52,1,5,44.83,19,Current
62,Female,Unemployed,Master's,381,135649,29.31,36043,Car,22.34,36,Mortgage,7,1,45/55,1,1,22.48,9,Current
27,Female,Unemployed,Bachelor's,572,23175,29.31,48183,Car,21.76,36,Rent,8,0,37/52,0,4,20.08,8,Fully Paid
38,Male,Unemployed,Master's,727,99884,16.93,11231,Home,22.44,36,Rent,6,2,31/56,2,0,44.57,1,Fully Paid
63,Female,Unemployed,Master's,849,112325,37.45,36282,Car,11.05,36,Rent,3,2,16/54,3,0,98.32,7,Current
38,Female,Self-employed,Bachelor's,519,41832,40.54,42605,Credit Card,16.61,36,Mortgage,5,2,5/57,0,1,67.05,7,Late
61,Male,Self-employed,High School,746,48982,38.58,49455,Credit Card,19.47,60,Mortgage,6,0,22/55,3,2,17.39,29,Fully Paid
59,Male,Self-employed,Master's,770,137970,29.77,33020,Credit Card,14.38,60,Own,4,0,47/53,0,3,62.31,17,Current
33,Male,Employed,High School,565,99210,23.84,15672,Credit Card,16.17,36,Mortgage,7,0,9/56,0,1,36.87,14,Current
18,Female,Self-employed,Bachelor's,524,31511,38.51,16203,Credit Card,24.46,36,Mortgage,3,2,1/54,1,1,96.62,17,Late
39,Female,Retired,Master's,644,116436,23.75,24949,Home,16.67,36,Own,7,1,19/51,3,0,64.33,8,Charged Off
38,Female,Employed,High School,690,71375,26.69,42645,Car,18.22,60,Own,6,0,6/52,2,1,60.95,35,Late
19,Female,Unemployed,Master's,667,114724,45.29,19384,Home,23.12,36,Mortgage,11,1,33/56,3,3,20.62,38,Fully Paid
19,Female,Self-employed,Master's,442,43657,46.13,22840,Credit Card,22.52,60,Own,9,0,27/55,3,3,23.58,13,Late
68,Male,Retired,High School,452,57905,18.31,26049,Home,17.28,60,Rent,5,2,49/59,2,5,11.75,18,Current
40,Male,Retired,High School,458,118710,35.83,7088,Credit Card,14.73,36,Own,8,1,3/58,0,2,83.89,18,Fully Paid
49,Female,Employed,Master's,647,92950,28.64,30919,Home,12.08,60,Own,8,2,40/55,3,4,67.49,12,Late
25,Male,Self-employed,Bachelor's,596,146044,23.6,3956,Medical,18.34,60,Rent,5,0,22/52,1,4,53.06,32,Late
59,Male,Unemployed,Master's,620,52468,18.35,12794,Credit Card,7.77,36,Own,2,1,40/52,3,1,73.64,20,Late
74,Male,Unemployed,Master's,489,75004,43.49,47002,Credit Card,10.15,36,Mortgage,10,1,44/56,2,0,31.39,33,Charged Off
67,Female,Employed,Bachelor's,566,31421,47.37,34157,Home,12.32,36,Mortgage,8,0,38/59,0,2,19.94,24,Late
64,Female,Employed,Master's,448,139457,25.32,47992,Car,15.71,60,Mortgage,4,1,10/57,0,1,65.79,21,Charged Off
36,Female,Unemployed,Bachelor's,848,91988,16.7,4896,Car,8.04,36,Mortgage,8,2,5/56,2,0,63.2,16,Fully Paid
31,Female,Self-employed,Master's,701,117431,30.27,44954,Credit Card,24.98,60,Rent,10,0,42/55,3,4,65.08,11,Current
50,Female,Employed,Bachelor's,814,72773,36.57,38107,Medical,15.57,60,Rent,11,2,39/53,2,4,50.58,2,Late
37,Female,Retired,High School,727,27779,43.27,47966,Home,14.35,60,Rent,10,0,45/52,3,0,17.42,9,Late
71,Male,Employed,High School,418,109674,35.67,42615,Credit Card,9.8,36,Mortgage,2,2,34/58,1,5,99.34,1,Late
47,Male,Employed,High School,489,51138,19.52,40919,Car,10.33,36,Rent,2,2,19/52,2,4,54.99,22,Fully Paid
62,Male,Retired,Bachelor's,792,107386,25.18,44023,Car,19.64,60,Own,11,0,14/54,0,2,11.56,16,Fully Paid
37,Female,Employed,Master's,703,135303,24.46,34508,Car,20.18,60,Own,11,1,18/53,2,5,99.46,36,Fully Paid
31,Male,Employed,Master's,488,75352,29.84,37294,Credit Card,17.96,60,Mortgage,8,2,8/53,2,1,97.71,2,Fully Paid
69,Male,Unemployed,Bachelor's,409,36656,48.88,13668,Credit Card,16.6,36,Own,8,0,2/53,1,1,56.34,32,Fully Paid
61,Female,Unemployed,Bachelor's,510,133757,41.3,36053,Home,7.15,60,Rent,9,2,40/59,2,4,44.85,5,Late
65,Female,Self-employed,Bachelor's,330,31748,49.0,2696,Credit Card,8.47,60,Rent,11,2,39/53,0,2,93.07,2,Late
32,Female,Employed,High School,342,92378,15.89,39015,Car,11.54,60,Own,3,1,32/51,1,5,35.07,7,Charged Off
20,Female,Unemployed,Master's,348,28214,23.18,33535,Car,15.34,36,Rent,6,1,38/52,2,3,46.04,14,Current
40,Female,Unemployed,Bachelor's,565,110576,47.56,3600,Home,7.4,60,Own,3,1,37/52,2,0,14.9,14,Current
25,Female,Unemployed,High School,357,107219,44.13,7442,Home,23.26,60,Rent,3,2,6/53,2,3,99.79,10,Fully Paid
68,Male,Self-employed,Master's,497,20257,20.8,21832,Car,5.66,36,Own,4,0,45/51,3,2,28.58,37,Fully Paid
23,Female,Unemployed,Bachelor's,357,29621,47.04,44745,Credit Card,17.98,36,Own,8,1,11/58,0,0,81.76,24,Late
46,Male,Self-employed,Master's,820,76468,16.13,43368,Medical,11.59,60,Mortgage,8,2,16/53,2,4,58.07,27,Current
56,Male,Employed,High School,547,66346,35.7,11276,Car,23.6,36,Own,9,0,41/53,2,0,32.85,29,Charged Off
72,Female,Self-employed,High School,424,26724,25.17,23585,Car,24.65,36,Own,2,2,13/59,0,1,89.51,27,Fully Paid
63,Male,Employed,Bachelor's,602,127498,17.77,21389,Home,5.04,60,Rent,6,1,46/51,2,4,48.98,3,Late
36,Female,Employed,Bachelor's,337,120734,17.39,22670,Credit Card,6.71,60,Rent,11,0,18/51,0,0,15.35,31,Late
72,Male,Employed,Master's,847,87761,49.65,27715,Car,21.64,60,Own,7,2,11/59,3,4,57.96,23,Fully Paid
29,Female,Retired,Master's,722,118709,35.92,2393,Credit Card,15.47,36,Mortgage,10,2,35/52,0,2,64.27,10,Charged Off
26,Female,Employed,Master's,401,34682,21.92,43529,Credit Card,7.1,60,Own,2,1,18/58,0,5,22.02,37,Charged Off
52,Female,Self-employed,Bachelor's,710,27238,26.78,32599,Credit Card,14.12,36,Mortgage,5,1,27/58,3,4,58.5,2,Late
43,Female,Employed,High School,451,144083,38.43,8980,Home,13.96,60,Own,9,0,36/58,2,2,40.38,19,Charged Off
60,Female,Self-employed,Master's,386,105454,23.13,5285,Medical,12.14,60,Own,5,1,12/55,0,1,39.51,37,Late
32,Female,Unemployed,High School,361,125017,30.15,37074,Car,6.92,36,Own,4,0,29/53,2,1,79.05,19,Late
24,Male,Self-employed,Bachelor's,832,43498,43.65,3745,Credit Card,16.77,36,Rent,11,1,36/53,3,4,77.48,30,Current
24,Female,Retired,Master's,733,31986,22.43,7302,Medical,6.99,36,Rent,5,0,6/56,2,0,78.2,39,Fully Paid
49,Male,Unemployed,High School,411,52242,24.07,39313,Car,11.19,36,Mortgage,2,0,36/55,2,2,65.69,36,Current
25,Male,Retired,Bachelor's,716,55661,20.54,13772,Credit Card,19.12,60,Own,3,0,18/53,1,4,16.03,6,Fully Paid
55,Female,Retired,Master's,375,36631,40.37,41278,Credit Card,24.79,60,Mortgage,8,1,24/56,2,3,24.85,5,Current
74,Male,Employed,High School,486,83849,23.6,37115,Credit Card,13.48,60,Mortgage,8,0,16/51,1,1,59.14,19,Fully Paid
43,Male,Self-employed,Master's,618,26935,31.45,48422,Car,9.5,60,Own,2,1,3/54,1,3,68.86,10,Late
26,Female,Unemployed,Master's,620,71351,17.78,48752,Home,14.59,60,Rent,10,0,41/59,3,1,27.63,37,Late
49,Female,Self-employed,Master's,750,68390,19.59,3469,Home,19.92,36,Rent,4,0,42/58,2,4,64.12,28,Fully Paid
32,Male,Employed,Bachelor's,377,47178,20.14,30902,Car,13.61,36,Own,9,2,49/57,0,5,92.09,33,Charged Off
68,Male,Employed,Master's,786,58195,43.02,5152,Home,14.2,36,Rent,2,2,49/52,1,4,71.16,23,Current
32,Female,Employed,Master's,340,107042,27.11,24407,Car,8.61,60,Rent,3,1,38/58,0,1,81.67,11,Charged Off
49,Female,Employed,Bachelor's,504,125104,27.55,31470,Credit Card,13.27,36,Own,10,0,14/54,3,1,69.98,36,Charged Off
30,Male,Self-employed,Master's,374,87309,42.42,45078,Home,20.17,60,Mortgage,9,1,28/58,0,1,23.65,3,Current
67,Male,Retired,Master's,734,41350,37.65,29329,Car,17.36,60,Rent,9,1,12/54,3,4,57.1,30,Late
36,Male,Self-employed,Master's,483,141111,32.34,21310,Car,15.97,60,Own,10,1,23/56,2,3,73.75,2,Late
20,Female,Employed,Master's,576,65257,19.17,27273,Medical,6.34,60,Mortgage,7,1,33/52,0,2,71.89,19,Fully Paid
23,Female,Unemployed,Bachelor's,359,52063,31.28,36578,Car,24.19,60,Own,4,1,30/55,1,1,91.05,20,Fully Paid
23,Female,Self-employed,Master's,800,115141,31.6,45317,Medical,12.98,36,Mortgage,8,1,6/58,2,3,54.71,4,Current
41,Female,Self-employed,High School,360,50817,39.58,10693,Home,6.93,60,Rent,2,0,32/59,3,1,46.17,11,Fully Paid
47,Male,Unemployed,Bachelor's,637,83493,19.91,13493,Car,10.71,60,Own,3,2,27/51,1,0,47.99,5,Late
19,Male,Unemployed,Bachelor's,419,140467,48.47,26082,Credit Card,13.77,60,Rent,4,1,7/52,3,0,16.18,4,Fully Paid
53,Female,Employed,Bachelor's,645,126789,31.72,21806,Credit Card,14.69,60,Rent,10,2,22/58,3,2,47.76,38,Charged Off
64,Female,Self-employed,Bachelor's,466,51624,46.64,18157,Medical,22.87,60,Rent,4,1,34/57,0,3,58.57,22,Late
21,Male,Self-employed,Master's,740,115600,16.5,23478,Medical,10.6,60,Rent,7,1,34/59,1,1,30.7,14,Late
40,Male,Retired,Bachelor's,710,45578,21.63,16210,Credit Card,15.17,36,Own,10,0,17/58,1,4,17.79,27,Late
41,Female,Retired,Bachelor's,508,29229,24.18,21712,Home,18.19,60,Rent,2,1,24/54,1,2,49.72,8,Late
74,Female,Unemployed,High School,832,55769,23.15,19172,Home,14.3,36,Own,6,2,38/55,3,3,62.2,34,Charged Off
68,Male,Self-employed,High School,437,25564,43.99,22252,Medical,7.5,60,Mortgage,5,1,15/55,0,3,16.24,38,Current
68,Male,Retired,Bachelor's,773,122996,45.57,37611,Home,19.58,36,Rent,2,0,28/58,1,2,70.14,37,Fully Paid
45,Female,Self-employed,Bachelor's,526,112744,44.22,30755,Medical,5.17,60,Own,10,2,34/57,3,0,85.18,23,Fully Paid
43,Male,Unemployed,Bachelor's,692,58707,22.33,11886,Credit Card,6.93,60,Mortgage,5,0,45/55,0,4,88.75,14,Late
29,Female,Self-employed,Master's,519,87099,40.5,12697,Car,11.77,36,Mortgage,11,1,1/57,3,2,46.49,34,Fully Paid
64,Male,Unemployed,Bachelor's,627,142204,34.2,7583,Medical,17.83,36,Rent,4,0,15/51,0,3,38.85,37,Charged Off
21,Female,Self-employed,High School,840,90902,49.16,43148,Credit Card,24.71,36,Own,6,2,45/56,3,0,21.04,17,Late
65,Female,Employed,Master's,528,123513,28.89,8674,Medical,22.92,60,Rent,8,0,20/51,3,2,59.9,22,Charged Off
58,Male,Employed,Bachelor's,392,119532,18.65,45523,Credit Card,19.02,60,Mortgage,4,2,42/55,2,4,34.33,0,Late
32,Female,Employed,High School,330,103596,25.33,31308,Credit Card,21.7,60,Own,11,2,45/56,0,4,86.52,34,Fully Paid
49,Female,Self-employed,High School,701,109211,33.44,37786,Credit Card,18.28,36,Own,4,0,19/55,3,5,67.99,1,Current
44,Male,Employed,Master's,365,55105,42.96,23661,Credit Card,5.01,60,Rent,2,1,41/51,2,3,68.75,21,Late
68,Male,Retired,Master's,510,80765,29.46,43962,Credit Card,5.28,60,Own,2,1,10/56,1,4,83.03,33,Fully Paid
63,Male,Unemployed,High School,491,114885,21.22,38660,Home,19.23,36,Mortgage,7,1,12/53,1,0,14.92,2,Current
23,Male,Self-employed,High School,696,52770,31.94,22326,Home,19.79,36,Own,8,1,10/57,2,1,19.9,25,Late
18,Male,Unemployed,High School,366,86660,43.02,20902,Credit Card,23.97,36,Own,4,2,40/55,1,3,72.69,33,Late
49,Female,Retired,Bachelor's,349,57723,36.76,34352,Home,11.34,60,Mortgage,7,0,32/58,1,2,23.54,32,Fully Paid
35,Female,Employed,Master's,402,133440,38.57,27472,Car,16.62,60,Own,4,2,49/55,2,3,58.4,7,Charged Off
36,Female,Self-employed,Bachelor's,510,29284,48.8,36645,Medical,11.65,60,Mortgage,6,2,49/56,0,5,36.4,9,Late
36,Male,Self-employed,Master's,614,88789,24.05,13147,Car,24.84,36,Rent,7,1,46/58,2,3,53.19,14,Fully Paid
60,Male,Retired,Master's,486,33759,38.1,13865,Medical,17.07,60,Own,8,0,26/55,1,1,34.02,25,Late
53,Female,Self-employed,Master's,517,146064,32.06,8833,Home,19.13,36,Rent,9,1,7/59,2,4,56.38,33,Fully Paid
42,Male,Employed,Bachelor's,807,45241,18.63,44412,Car,9.12,60,Mortgage,5,2,2/51,1,4,89.75,0,Late
67,Male,Unemployed,Master's,776,37296,47.05,19293,Credit Card,5.56,60,Mortgage,3,1,35/56,1,3,30.73,39,Late
45,Female,Self-employed,Bachelor's,307,76752,33.13,27551,Medical,24.78,60,Rent,6,1,44/54,3,4,74.7,0,Charged Off
44,Female,Unemployed,Bachelor's,751,56197,41.48,15473,Medical,10.55,36,Mortgage,4,0,23/51,1,1,35.21,4,Fully Paid
20,Male,Employed,Bachelor's,571,98776,23.18,41115,Credit Card,13.65,60,Own,6,2,39/57,0,3,16.71,28,Charged Off
26,Male,Self-employed,Master's,409,27012,43.92,43440,Credit Card,11.63,60,Rent,2,2,41/52,0,4,30.26,15,Late
18,Female,Self-employed,High School,450,62119,22.04,25365,Car,9.82,36,Rent,8,1,39/58,0,2,13.33,27,Current
51,Female,Retired,Master's,460,60643,17.61,28466,Car,9.94,60,Mortgage,2,1,26/51,1,4,17.71,32,Current
36,Female,Unemployed,Master's,431,70997,34.19,33843,Home,15.6,36,Own,3,0,16/52,3,5,31.2,5,Charged Off
63,Male,Self-employed,Bachelor's,606,103505,36.0,23066,Car,5.49,36,Mortgage,6,2,24/56,3,2,42.22,17,Fully Paid
48,Female,Employed,Master's,810,82087,34.51,25432,Credit Card,10.42,36,Rent,6,0,8/57,0,4,29.51,7,Fully Paid
22,Male,Self-employed,Master's,814,148268,15.44,18272,Home,17.96,36,Rent,8,0,15/51,3,5,97.1,3,Current
51,Female,Retired,Bachelor's,398,65681,28.35,43604,Credit Card,17.93,36,Mortgage,6,0,35/57,2,2,53.12,15,Charged Off
31,Male,Employed,Bachelor's,849,80530,18.75,44407,Home,24.05,60,Own,9,0,37/56,2,5,42.69,15,Current
66,Female,Employed,Master's,309,20831,36.62,38228,Home,8.38,60,Mortgage,5,1,42/52,0,0,66.86,5,Late
18,Female,Self-employed,Bachelor's,646,113430,39.83,9110,Medical,23.62,36,Own,5,2,17/55,3,5,72.82,8,Current
21,Female,Retired,High School,704,120182,33.84,9003,Medical,18.85,36,Rent,3,1,20/59,0,3,74.83,9,Late
34,Male,Self-employed,Master's,615,72182,32.71,14537,Car,15.25,60,Rent,5,1,12/55,0,0,19.55,12,Current
38,Male,Retired,Bachelor's,783,149768,41.72,6060,Medical,20.16,60,Mortgage,5,1,17/56,0,4,35.82,15,Charged Off
18,Male,Self-employed,High School,694,141446,37.48,30102,Credit Card,18.36,36,Rent,7,1,47/56,0,4,55.14,17,Late
42,Female,Employed,Master's,818,106756,49.49,16130,Home,8.01,60,Rent,5,1,18/51,0,2,12.16,28,Current
45,Female,Unemployed,High School,541,92385,32.86,24878,Car,24.71,60,Mortgage,5,0,7/54,2,2,53.82,7,Charged Off
53,Male,Self-employed,High School,698,40251,17.67,21793,Car,16.82,60,Rent,3,1,17/53,1,5,91.3,17,Charged Off
64,Male,Self-employed,Master's,839,41260,21.92,31883,Home,20.87,36,Rent,9,0,38/51,2,1,86.89,33,Late
55,Male,Employed,Bachelor's,837,71581,18.65,42330,Credit Card,22.85,36,Own,3,2,31/57,1,5,72.44,26,Fully Paid
23,Male,Self-employed,High School,437,99320,40.06,21968,Medical,7.38,36,Own,2,2,9/52,3,2,55.05,25,Current
64,Female,Retired,Master's,742,31812,39.89,40193,Credit Card,22.9,60,Mortgage,11,0,39/51,3,5,35.04,16,Charged Off
32,Female,Employed,High School,775,65750,45.89,46745,Home,17.3,36,Own,7,0,33/57,2,2,53.93,36,Charged Off
18,Male,Retired,Bachelor's,633,145521,21.13,3440,Car,14.38,60,Rent,10,2,5/59,0,0,31.16,34,Late
69,Female,Employed,Bachelor's,308,101083,26.87,44709,Car,15.9,36,Mortgage,2,0,49/53,0,0,81.64,6,Current
30,Male,Retired,Bachelor's,429,111105,39.65,9905,Home,14.58,60,Mortgage,2,0,7/54,3,5,24.62,18,Current
69,Female,Self-employed,Master's,733,149826,24.47,11850,Credit Card,21.85,60,Mortgage,2,2,15/54,0,1,88.56,24,Late
66,Male,Retired,High School,429,66003,38.19,33389,Car,21.47,36,Own,4,0,40/57,3,3,42.54,29,Current
65,Male,Unemployed,High School,795,111337,25.97,43180,Home,24.1,36,Mortgage,9,0,5/59,3,3,40.45,25,Late
32,Female,Self-employed,Bachelor's,481,48873,29.64,18696,Credit Card,22.57,36,Own,11,2,23/53,2,4,81.83,23,Late
39,Female,Retired,High School,518,119706,44.02,35329,Home,9.63,36,Own,8,0,21/57,2,5,66.29,22,Current
48,Female,Employed,High School,584,38909,32.57,45443,Home,12.67,60,Mortgage,10,2,43/57,3,4,45.16,8,Current
55,Female,Employed,Master's,472,53977,45.03,33000,Credit Card,15.45,60,Own,8,1,11/53,2,4,97.48,26,Charged Off
34,Male,Retired,High School,692,78345,37.14,3114,Medical,22.27,36,Mortgage,2,2,23/52,1,2,72.04,34,Charged Off
20,Male,Employed,Master's,597,56306,42.65,2930,Credit Card,11.06,36,Rent,4,0,27/58,1,3,84.82,38,Fully Paid
27,Female,Self-employed,Bachelor's,545,110840,26.29,33429,Medical,7.94,36,Own,5,0,6/55,0,4,33.29,14,Charged Off
52,Female,Unemployed,Bachelor's,602,20293,48.97,23680,Car,20.3,60,Own,11,0,28/55,0,4,77.97,25,Late
59,Male,Employed,Master's,331,27132,36.09,19985,Home,17.93,36,Rent,7,1,19/51,2,1,23.85,25,Fully Paid
36,Male,Retired,Master's,305,48747,21.16,36006,Medical,9.87,60,Own,10,1,2/55,0,5,48.6,26,Late
19,Female,Retired,High School,664,40972,30.69,20863,Credit Card,17.1,60,Own,5,2,40/59,3,4,41.75,34,Fully Paid
34,Male,Self-employed,High School,716,80512,15.46,34712,Credit Card,8.25,60,Rent,11,0,12/58,2,1,31.41,5,Charged Off
34,Female,Employed,Master's,819,144355,32.01,48066,Car,19.56,60,Own,7,1,15/54,2,2,80.02,5,Late
54,Female,Unemployed,Master's,346,32085,48.77,29734,Home,8.79,36,Rent,2,1,1/53,2,0,52.33,7,Fully Paid
72,Female,Retired,Bachelor's,576,110068,27.21,33838,Credit Card,7.23,60,Own,8,0,7/58,1,0,66.45,2,Fully Paid
69,Female,Unemployed,Bachelor's,598,129209,42.34,7525,Car,15.65,60,Mortgage,10,0,4/53,3,3,50.85,26,Current
37,Female,Unemployed,Master's,431,123288,23.42,31662,Home,13.43,60,Mortgage,9,1,33/59,0,1,43.16,37,Late
71,Male,Unemployed,Master's,637,48048,48.58,28601,Home,5.72,60,Own,2,0,28/55,3,3,30.07,7,Late
22,Male,Retired,Bachelor's,796,117003,40.12,7723,Car,12.74,36,Mortgage,6,1,18/57,3,3,23.76,38,Charged Off
51,Male,Employed,Bachelor's,609,100535,27.92,13745,Car,19.81,60,Mortgage,4,0,5/54,3,2,58.87,29,Late
65,Female,Employed,Master's,764,47744,34.81,7897,Home,10.38,60,Own,7,2,12/59,3,4,34.38,1,Current
30,Female,Unemployed,High School,796,121703,36.65,16205,Medical,21.07,36,Own,4,2,10/56,0,5,78.41,22,Fully Paid
20,Male,Retired,Master's,582,23007,45.03,45414,Credit Card,8.79,36,Mortgage,11,1,12/56,2,4,72.63,17,Late
45,Male,Self-employed,Master's,736,74640,40.86,7257,Home,23.39,60,Own,8,1,28/52,3,0,46.91,21,Current
35,Female,Retired,Bachelor's,719,121693,46.49,10432,Medical,23.26,36,Rent,11,0,3/58,1,0,92.23,2,Fully Paid
51,Female,Unemployed,High School,335,130822,47.34,21572,Credit Card,10.12,36,Rent,10,1,47/51,1,3,74.29,38,Charged Off
39,Female,Unemployed,High School,384,61870,41.32,7441,Car,17.86,60,Rent,2,2,4/54,1,0,23.0,21,Charged Off
53,Male,Unemployed,Master's,594,39173,18.62,2684,Car,12.01,60,Rent,8,1,16/52,2,2,40.86,2,Current
70,Female,Unemployed,Master's,394,62427,28.09,12192,Credit Card,8.21,60,Rent,6,2,31/55,2,3,78.02,24,Late
57,Female,Employed,High School,419,131759,40.94,47369,Credit Card,17.53,36,Own,9,0,11/51,0,2,27.32,5,Late
41,Female,Retired,Master's,774,48294,49.01,34940,Home,14.32,36,Own,6,1,44/54,0,0,74.07,33,Fully Paid
30,Female,Retired,Bachelor's,758,148349,39.2,2753,Medical,24.88,36,Rent,6,0,41/57,3,5,46.22,23,Charged Off
66,Male,Employed,High School,834,97046,42.23,29677,Home,21.32,36,Rent,5,0,8/54,0,3,53.51,26,Charged Off
58,Male,Employed,Master's,375,113436,39.89,32802,Medical,22.65,36,Own,7,1,48/53,2,2,76.89,3,Charged Off
